Column1,Name,P,A
1,Jordan Ayew,18,4
2,Jean-Philippe Mateta,16,3
3,Joachim Andersen,19,1
4,Tyrick Mitchell,18,1
5,Joel Ward,16,1
6,Jeff Schlupp,16,1
7,Jefferson Lerma,14,1
8,Eberechi Eze,13,1
9,Michael Olise,8,1
10,Marc Guehi,18,0
11,Sam Johnstone,16,0
12,Odsonne Édouard,15,0
13,Will Hughes,14,0
14,Cheick Doucouré,11,0
15,Chris Richards,10,0
16,Naouirou Ahamada,10,0
17,Nathaniel Clyne,8,0
18,Jesurun Rak-Sakyi,6,0
19,Jairo Riedewald,4,0
20,David Ozoh,4,0
21,Matheus França,4,0
22,Dean Henderson,3,0
23,Remi Matthews,1,0
24,James Tomkins,1,0
25,Ademola Ola-Adebomi,0,0
